trade_id,trade_date,settle_date,security_id,side,quantity,price,counterparty,book
T100114,2026-04-26,2026-04-27,VOD.L,BUY,8108,337.74,Goldman Sachs,EQ-LDN
T100115,2026-04-22,2026-04-28,GS,BUY,945,477.07,Citi,EQ-HK
T100116,2026-04-17,2026-04-28,AAPL,SELL,8984,366.7,Citi,EQ-LDN
T100117,2026-04-20,2026-04-26,GS,BUY,1432,400.82,Citi,EQ-NY
T100118,2026-04-20,2026-04-27,GOOG,BUY,6400,187.73,Morgan Stanley,EQ-NY
T100119,2026-04-18,2026-04-26,JPM,SELL,1374,97.11,Goldman Sachs,EQ-NY
T100120,2026-04-17,2026-04-28,HSBA.L,BUY,7266,181.18,Barclays,EQ-LDN
T100121,2026-04-17,2026-04-28,VOD.L,SELL,9536,231.19,Morgan Stanley,EQ-HK
T100122,2026-04-24,2026-04-28,AMZN,SELL,437,360.45,JP Morgan,EQ-NY
T100123,2026-04-20,2026-04-26,BAC,BUY,3394,472.71,Goldman Sachs,EQ-LDN
T100124,2026-04-26,2026-04-28,AAPL,SELL,436,414.18,JP Morgan,EQ-LDN
T100125,2026-04-23,2026-04-27,VOD.L,SELL,1967,169.88,Morgan Stanley,EQ-HK
T100126,2026-04-23,2026-04-26,JPM,BUY,7014,419.14,Citi,EQ-LDN
T100127,2026-04-22,2026-04-28,GOOG,SELL,594,235.29,Barclays,EQ-LDN
T100128,2026-04-20,2026-04-26,JPM,BUY,4742,128.95,Barclays,EQ-NY
T100129,2026-04-20,2026-04-26,AMZN,BUY,3986,257.56,Goldman Sachs,EQ-NY
T100130,2026-04-23,2026-04-28,TSLA,BUY,8452,303.45,Barclays,EQ-NY
T100131,2026-04-20,2026-04-28,BAC,BUY,2136,393.53,Citi,EQ-NY
T100132,2026-04-24,2026-04-26,TSLA,BUY,9799,207.45,UBS,EQ-NY
T100133,2026-04-21,2026-04-26,MSFT,SELL,5183,116.6302,Citi,EQ-LDN
T100134,2026-04-25,2026-04-28,GOOG,SELL,3660,92.46,Morgan Stanley,EQ-LDN
T100135,2026-04-17,2026-04-27,BAC,SELL,9667,100.6,Citi,EQ-HK
T100136,2026-04-18,2026-04-26,AMZN,BUY,9845,477.51,Barclays,EQ-NY
T100137,2026-04-22,2026-04-26,VOD.L,BUY,2381,478.29,Morgan Stanley,EQ-NY
T100138,2026-04-21,2026-04-27,HSBA.L,BUY,1701,485.94,Morgan Stanley,EQ-NY
T100139,2026-04-23,2026-04-28,BAC,BUY,1399,186.12,Citi,EQ-NY
T100140,2026-04-17,2026-04-28,VOD.L,SELL,9002,136.23,Citi,EQ-NY
T100141,2026-04-20,2026-04-27,VOD.L,SELL,4267,491.41,UBS,EQ-LDN
T100142,2026-04-18,2026-04-28,MSFT,BUY,2146,494.72,Citi,EQ-LDN
T100143,2026-04-20,2026-04-28,AAPL,BUY,2981,85.26,Citi,EQ-NY
T100144,2026-04-26,2026-04-26,GOOG,BUY,5574,388.64,Goldman Sachs,EQ-LDN
T100145,2026-04-26,2026-04-26,GOOG,SELL,1917,179.9,Morgan Stanley,EQ-NY
T100146,2026-04-18,2026-04-26,MSFT,SELL,2298,459.18,UBS,EQ-HK
T100147,2026-04-18,2026-04-27,TSLA,BUY,3432,90.15,Barclays,EQ-NY
T100148,2026-04-23,2026-04-28,TSLA,BUY,1203,449.86,JP Morgan,EQ-HK
T100150,2026-04-24,2026-04-26,AAPL,SELL,4915,284.89,Citi,EQ-NY
T100151,2026-04-20,2026-04-26,VOD.L,BUY,2277,201.0,JP Morgan,EQ-NY
T100152,2026-04-21,2026-04-27,GS,BUY,1294,242.3,UBS,EQ-NY
T100153,2026-04-19,2026-04-28,GS,BUY,4601,245.2,Morgan Stanley,EQ-NY
T100154,2026-04-18,2026-04-27,TSLA,SELL,6141,344.12,UBS,EQ-LDN
T100155,2026-04-22,2026-04-28,MSFT,BUY,8827,60.39,Goldman Sachs,EQ-LDN
T100156,2026-04-26,2026-04-27,AAPL,SELL,7160,361.11,Goldman Sachs,EQ-HK
T100157,2026-04-24,2026-04-26,JPM,BUY,9361,59.99,Barclays,EQ-NY
T100158,2026-04-17,2026-04-27,HSBA.L,BUY,8424,133.37,UBS,EQ-LDN
T100159,2026-04-19,2026-04-27,AAPL,BUY,363,323.03,Goldman Sachs,EQ-LDN
T100160,2026-04-21,2026-04-26,AMZN,SELL,4562,88.9,UBS,EQ-LDN
T100161,2026-04-19,2026-04-28,VOD.L,BUY,7068,495.91,Barclays,EQ-HK
T100162,2026-04-18,2026-04-28,VOD.L,SELL,2152,402.97,Barclays,EQ-LDN
T100163,2026-04-23,2026-04-26,GOOG,BUY,5046,367.55,UBS,EQ-NY
T100164,2026-04-26,2026-04-27,BAC,SELL,5925,170.46,Citi,EQ-LDN
T100165,2026-04-26,2026-04-27,BAC,BUY,6144,71.85,Goldman Sachs,EQ-NY
T100166,2026-04-17,2026-04-27,GOOG,SELL,4189,490.45,Morgan Stanley,EQ-LDN
T100167,2026-04-23,2026-04-28,AMZN,BUY,457,116.53,Citi,EQ-NY
T100168,2026-04-20,2026-04-27,VOD.L,SELL,5605,423.76,Morgan Stanley,EQ-HK
T100169,2026-04-25,2026-04-28,BAC,SELL,4520,138.88,Citi,EQ-LDN
T100170,2026-04-24,2026-04-27,BAC,BUY,9042,218.34,Barclays,EQ-LDN
T100171,2026-04-26,2026-04-26,HSBA.L,SELL,3350,362.12,Goldman Sachs,EQ-HK
T100172,2026-04-22,2026-04-26,BAC,SELL,6662,475.41,Barclays,EQ-HK
T100173,2026-04-26,2026-04-28,VOD.L,BUY,2358,58.9,Barclays,EQ-HK
T100174,2026-04-19,2026-04-28,AMZN,SELL,9202,167.35,Barclays,EQ-NY
T100175,2026-04-26,2026-04-26,JPM,BUY,3910,394.23,Barclays,EQ-NY
T100176,2026-04-26,2026-04-26,TSLA,BUY,683,128.03,UBS,EQ-LDN
T100177,2026-04-25,2026-04-27,AAPL,SELL,3538,100.15,UBS,EQ-NY
T100178,2026-04-25,2026-04-26,MSFT,SELL,8868,70.78,Goldman Sachs,EQ-LDN
T100179,2026-04-21,2026-04-28,GS,SELL,6457,276.12,Citi,EQ-HK
T100180,2026-04-20,2026-04-26,AAPL,SELL,9444,395.48,Goldman Sachs,EQ-LDN
T100181,2026-04-22,2026-04-28,HSBA.L,SELL,6246,482.78,JP Morgan,EQ-HK
T100182,2026-04-26,2026-04-28,BAC,BUY,5599,170.37,Morgan Stanley,EQ-HK
T100183,2026-04-26,2026-04-27,AMZN,BUY,1883,104.62,UBS,EQ-LDN
T100184,2026-04-24,2026-04-27,JPM,SELL,1193,231.15,Goldman Sachs,EQ-NY
T100185,2026-04-25,2026-04-27,GS,SELL,4632,74.95,Citi,EQ-NY
T100186,2026-04-22,2026-04-27,GOOG,SELL,5217,199.11,Barclays,EQ-LDN
T100187,2026-04-17,2026-04-26,JPM,SELL,8038,339.39,UBS,EQ-NY
T100188,2026-04-21,2026-04-27,TSLA,SELL,6846,125.67,Morgan Stanley,EQ-HK
T100189,2026-04-20,2026-04-26,BAC,BUY,2233,334.34,UBS,EQ-HK
T100190,2026-04-23,2026-04-27,MSFT,BUY,8809,487.38,Citi,EQ-NY
T100191,2026-04-20,2026-04-27,GS,BUY,9033,438.89,Morgan Stanley,EQ-NY
T100192,2026-04-19,2026-04-28,BAC,SELL,6220,210.58,JP Morgan,EQ-HK
T100193,2026-04-26,2026-04-26,GS,SELL,2577,239.67,Goldman Sachs,EQ-LDN
T100194,2026-04-21,2026-04-28,MSFT,SELL,5058,238.69,Citi,EQ-NY
T100195,2026-04-19,2026-04-27,TSLA,BUY,6237,436.96,Morgan Stanley,EQ-NY
T100196,2026-04-22,2026-04-26,GOOG,BUY,2976,497.22,JP Morgan,EQ-LDN
T100197,2026-04-23,2026-04-27,VOD.L,BUY,142,423.7582,Citi,EQ-HK
T100198,2026-04-25,2026-04-28,AMZN,BUY,5929,301.15,Citi,EQ-LDN
T100199,2026-04-21,2026-04-26,JPM,SELL,3541,93.81,UBS,EQ-LDN
T100200,2026-04-21,2026-04-28,AAPL,SELL,8695,479.52,Goldman Sachs,EQ-LDN
T100201,2026-04-26,2026-04-27,GOOG,SELL,9618,437.02,Morgan Stanley,EQ-NY
T100202,2026-04-18,2026-04-27,GOOG,SELL,6446,428.63,Citi,EQ-HK
T100203,2026-04-21,2026-04-27,HSBA.L,SELL,6949,226.32,Citi,EQ-HK
T100204,2026-04-24,2026-04-26,GS,SELL,6786,251.23,Morgan Stanley,EQ-NY
T100205,2026-04-23,2026-04-28,GS,BUY,2750,103.85,Citi,EQ-LDN
T100206,2026-04-23,2026-04-28,HSBA.L,SELL,4445,472.04,Goldman Sachs,EQ-NY
T100207,2026-04-24,2026-04-27,JPM,SELL,977,474.46,Citi,EQ-LDN
T100208,2026-04-17,2026-04-28,GS,SELL,1986,164.5,UBS,EQ-LDN
T100209,2026-04-24,2026-04-26,VOD.L,SELL,1403,363.2,UBS,EQ-LDN
T100210,2026-04-24,2026-04-27,AMZN,SELL,1840,141.57,Barclays,EQ-LDN
T100211,2026-04-23,2026-04-27,AAPL,SELL,1212,226.83,Citi,EQ-NY
T100212,2026-04-20,2026-04-27,AAPL,SELL,3976,186.07,UBS,EQ-LDN
T100213,2026-04-23,2026-04-26,MSFT,SELL,6140,225.32,Goldman Sachs,EQ-NY
T100214,2026-04-18,2026-04-27,MSFT,BUY,7552,189.04,JP Morgan,EQ-LDN
T100215,2026-04-26,2026-04-27,AMZN,BUY,6218,205.38,Goldman Sachs,EQ-NY
T100216,2026-04-19,2026-04-27,BAC,BUY,8539,405.98,Morgan Stanley,EQ-HK
T100217,2026-04-20,2026-04-27,BAC,SELL,6895,185.01,Citi,EQ-NY
T100218,2026-04-25,2026-04-28,GOOG,BUY,7144,416.61,Barclays,EQ-HK
T100219,2026-04-19,2026-04-27,GOOG,SELL,667,305.56,Barclays,EQ-NY
T100220,2026-04-26,2026-04-26,HSBA.L,BUY,6058,401.2,JP Morgan,EQ-HK
T100221,2026-04-18,2026-04-27,TSLA,BUY,9480,463.5,Citi,EQ-NY
T100222,2026-04-18,2026-04-27,MSFT,SELL,1453,112.29,Morgan Stanley,EQ-LDN
T100223,2026-04-25,2026-04-28,TSLA,SELL,5129,204.75,UBS,EQ-HK
T100224,2026-04-20,2026-04-27,GS,SELL,9272,75.0,UBS,EQ-LDN
T100225,2026-04-17,2026-04-28,AAPL,SELL,5065,233.11,UBS,EQ-HK
T100226,2026-04-24,2026-04-26,GOOG,BUY,268,156.83,Goldman Sachs,EQ-LDN
T100227,2026-04-20,2026-04-28,BAC,BUY,7812,307.26,UBS,EQ-LDN
T100228,2026-04-17,2026-04-27,AMZN,SELL,2771,402.53,Morgan Stanley,EQ-NY
T100229,2026-04-18,2026-04-26,MSFT,BUY,478,268.86,Barclays,EQ-LDN
T100230,2026-04-23,2026-04-27,AAPL,BUY,2032,200.13,Goldman Sachs,EQ-HK
T100231,2026-04-26,2026-04-28,JPM,BUY,293,118.65,UBS,EQ-HK
T100232,2026-04-25,2026-04-26,AMZN,SELL,8555,62.07,Morgan Stanley,EQ-HK
T100233,2026-04-26,2026-04-26,TSLA,SELL,9763,355.05,JP Morgan,EQ-NY
T100235,2026-04-22,2026-04-28,TSLA,BUY,5114,464.38,Barclays,EQ-HK
T100236,2026-04-20,2026-04-26,MSFT,SELL,7978,317.4,Morgan Stanley,EQ-LDN
T100237,2026-04-18,2026-04-26,AMZN,SELL,1400,208.98,Morgan Stanley,EQ-NY
T100238,2026-04-18,2026-04-28,VOD.L,BUY,3300,68.86,Goldman Sachs,EQ-LDN
T100239,2026-04-24,2026-04-27,GS,SELL,3473,236.07,Barclays,EQ-NY
T100240,2026-04-24,2026-04-26,JPM,SELL,8865,440.28,UBS,EQ-NY
T100241,2026-04-24,2026-04-28,TSLA,SELL,9829,486.42,Barclays,EQ-NY
T100242,2026-04-23,2026-04-27,JPM,BUY,1483,88.22,JP Morgan,EQ-NY
T100243,2026-04-19,2026-04-26,AMZN,SELL,9672,399.71,Citi,EQ-HK
T100244,2026-04-21,2026-04-26,AAPL,BUY,3637,166.26,Barclays,EQ-NY
T100245,2026-04-19,2026-04-28,AMZN,BUY,8024,220.75,Goldman Sachs,EQ-NY
T100246,2026-04-26,2026-04-27,BAC,BUY,9815,296.45,UBS,EQ-HK
T100247,2026-04-19,2026-04-26,VOD.L,BUY,5091,497.63,Barclays,EQ-HK
T100248,2026-04-23,2026-04-27,AAPL,BUY,5302,143.97,Citi,EQ-HK
T100249,2026-04-26,2026-04-27,TSLA,BUY,4032,108.72,UBS,EQ-HK
T100250,2026-04-19,2026-04-26,GS,SELL,4094,317.74,Goldman Sachs,EQ-LDN
T100251,2026-04-23,2026-04-27,JPM,SELL,9187,433.87,Morgan Stanley,EQ-HK
T100252,2026-04-21,2026-04-26,AMZN,BUY,564,341.7,Citi,EQ-HK
T100253,2026-04-19,2026-04-27,HSBA.L,BUY,8080,206.41,JP Morgan,EQ-HK
T100254,2026-04-23,2026-04-26,MSFT,SELL,1710,489.64,Barclays,EQ-LDN
T100255,2026-04-24,2026-04-28,TSLA,SELL,8904,497.76,UBS,EQ-HK
T100256,2026-04-18,2026-04-26,MSFT,SELL,704,396.79,Barclays,EQ-LDN
T100257,2026-04-24,2026-04-26,AAPL,BUY,8067,411.09,Goldman Sachs,EQ-NY
T100258,2026-04-18,2026-04-26,BAC,BUY,720,392.38,Morgan Stanley,EQ-LDN
T100259,2026-04-25,2026-04-27,TSLA,SELL,2702,165.95,Goldman Sachs,EQ-HK
T100260,2026-04-25,2026-04-28,BAC,BUY,6573,117.62,Citi,EQ-LDN
T100261,2026-04-25,2026-04-27,BAC,BUY,3900,299.46,UBS,EQ-LDN
T100262,2026-04-21,2026-04-27,GS,BUY,7198,479.37,Barclays,EQ-LDN
T100263,2026-04-24,2026-04-26,AAPL,BUY,6638,445.23,UBS,EQ-LDN
T100264,2026-04-18,2026-04-27,AMZN,SELL,255,98.09,Citi,EQ-LDN
T100265,2026-04-23,2026-04-26,HSBA.L,BUY,8260,75.65,Citi,EQ-LDN
T100266,2026-04-26,2026-04-28,VOD.L,BUY,6781,443.2,Goldman Sachs,EQ-LDN
T100267,2026-04-23,2026-04-27,BAC,BUY,2815,325.86,Barclays,EQ-LDN
T100268,2026-04-26,2026-04-27,AAPL,BUY,4439,186.94,UBS,EQ-NY
T100269,2026-04-22,2026-04-27,GS,SELL,8170,302.8,Barclays,EQ-NY
T100270,2026-04-23,2026-04-26,TSLA,BUY,6790,149.75,JP Morgan,EQ-HK
T100271,2026-04-19,2026-04-26,GOOG,BUY,549,476.13,Goldman Sachs,EQ-HK
T100272,2026-04-19,2026-04-27,GOOG,SELL,1169,422.24,Goldman Sachs,EQ-HK
T100273,2026-04-20,2026-04-27,HSBA.L,BUY,4117,483.01,JP Morgan,EQ-HK
T100274,2026-04-24,2026-04-28,GS,BUY,2919,134.18,Morgan Stanley,EQ-HK
T100275,2026-04-26,2026-04-28,AAPL,BUY,2385,429.65,Citi,EQ-HK
T100276,2026-04-26,2026-04-28,GS,BUY,9482,302.13,UBS,EQ-NY
T100277,2026-04-24,2026-04-28,VOD.L,SELL,1499,196.25,Morgan Stanley,EQ-NY
T100279,2026-04-20,2026-04-26,AMZN,SELL,6475,474.97,UBS,EQ-LDN
T100280,2026-04-21,2026-04-28,GOOG,BUY,823,361.15,UBS,EQ-LDN
T100281,2026-04-21,2026-04-28,GOOG,BUY,9733,211.96,Citi,EQ-HK
T100282,2026-04-21,2026-04-27,VOD.L,SELL,5373,499.95,UBS,EQ-NY
T100283,2026-04-24,2026-04-26,GS,SELL,7635,205.58,JP Morgan,EQ-HK
T100284,2026-04-21,2026-04-28,HSBA.L,BUY,4920,416.17,Goldman Sachs,EQ-NY
T100285,2026-04-19,2026-04-28,HSBA.L,BUY,186,402.97,JP Morgan,EQ-NY
T100286,2026-04-25,2026-04-28,BAC,BUY,7797,375.32,JP Morgan,EQ-HK
T100287,2026-04-22,2026-04-27,TSLA,BUY,6946,351.25,JP Morgan,EQ-HK
T100288,2026-04-26,2026-04-27,GOOG,BUY,4249,98.9,Morgan Stanley,EQ-LDN
T100289,2026-04-26,2026-04-27,VOD.L,BUY,1851,497.73,JP Morgan,EQ-NY
T100290,2026-04-22,2026-04-28,GS,BUY,5261,122.47,Goldman Sachs,EQ-LDN
T100291,2026-04-24,2026-04-27,AAPL,BUY,3520,318.26,UBS,EQ-LDN
T100292,2026-04-23,2026-04-28,TSLA,BUY,4937,162.12,Morgan Stanley,EQ-LDN
T100293,2026-04-24,2026-04-26,HSBA.L,BUY,2583,125.95,Citi,EQ-LDN
T100294,2026-04-26,2026-04-28,MSFT,SELL,3312,301.76,JP Morgan,EQ-NY
T100295,2026-04-26,2026-04-27,MSFT,BUY,4022,426.35,JP Morgan,EQ-NY
T100296,2026-04-22,2026-04-26,GS,BUY,6410,219.63,UBS,EQ-LDN
